timeframe,week_of,2019_counts_14_counters,2020_counts_14_counters,change_2019_2020
Week 1,2020-12-30,63100,47315,-0.25
Week 2,2020-01-06,31703,25980,-0.18
Week 3,2020-01-13,18082,19569,0.08
Week 4,2020-01-20,26280,22907,-0.13
Week 5,2020-01-27,24447,25713,0.05
Week 6,2020-02-03,28308,34427,0.22
Week 7,2020-02-10,21176,32574,0.54
Week 8,2020-02-17,22085,47713,1.16
Week 9,2020-02-24,28591,44536,0.56
Week 10,2020-03-02,31425,63555,1.02
Week 11,2020-03-09,36968,71976,0.95
Week 12,2020-03-16,20937,94145,3.5
Week 13,2020-03-23,43560,69574,0.6
Week 14,2020-03-30,22880,73814,2.23
Week 15,2020-04-06,65750,81686,0.24
Week 16,2020-04-13,44026,81775,0.86
Week 17,2020-04-20,45732,84412,0.85
Week 18,2020-04-27,50538,106090,1.1
Week 19,2020-05-04,53183,96285,0.81
Week 20,2020-05-11,52169,115579,1.22
Week 21,2020-05-18,64922,104040,0.6
Week 22,2020-05-25,77048,133746,0.74
Week 23,2020-06-01,81672,121249,0.48
Week 24,2020-06-08,91417,129916,0.42
Week 25,2020-06-15,85124,110954,0.3
Week 26,2020-06-22,88284,123108,0.39
Week 27,2020-06-29,85466,118482,0.39
Week 28,2020-07-06,85130,118638,0.39
Week 29,2020-07-13,76352,121665,0.59
Week 30,2020-07-20,90580,109271,0.21
Week 31,2020-07-27,86638,115832,0.34
Week 32,2020-08-03,76065,114110,0.5
Week 33,2020-08-10,73885,103901,0.41
Week 34,2020-08-17,73714,121113,0.64
Week 35,2020-08-24,73190,116564,0.59
Week 36,2020-08-31,76248,112050,0.47
Week 37,2020-09-07,63340,96760,0.53
Week 38,2020-09-14,64556,94094,0.46
Week 39,2020-09-21,60301,93923,0.56
Week 40,2020-09-28,52573,82615,0.57
Week 41,2020-10-05,45322,78776,0.74
Week 42,2020-10-12,39078,65208,0.67
Week 43,2020-10-19,39398,56905,0.44
Week 44,2020-10-26,37277,42349,0.14
Week 45,2020-11-02,34454,70493,1.05
Week 46,2020-11-09,28255,46105,0.63
