counters_arlington_county,daily_average
WOD Bon Air East,1379
Key Bridge West,1580
MVT Air,4108
CC Connector,985
TR Island,1859
14th Street Bridge,1686
Custis Bon Air,1154
City of Billings,
Kiwanis Trail,180
Descro Park,465
City of Colorado Springs ,
Pikes Peak Greenway,786
Delaware and Lehigh National Heritage Area,
New Hope- D&L Trail,177
Weissport - D&L Trail,287
Houston-Galveston Area,
White Oak Trail at 34th St,457
"Albuquerque, NM",
Paseo del Nordeste Trail near Erna Fergusson,275
"Minneapolis, Minnesota ",
West River Greenway,1918
Montgomery County ,
"Capital Crescent Trail #2",1638
"Fort Worth,Texas ",
Trinity Trails (Clearfork Food Park),1006
PA DCNR,
Enola Low Grade Manor Twp.,147
Armstrong Trail- Kittanning,136
Buffalo Valley Trail,230
York Heritage Trail,181
Samuel Justus Trail,87
Redbank Trail,80
Susquehanna RiverWalk,129
Cumberland Valley RT,206
Sheepskin Trail,51
Westmoreland Heritage,242
Schuylkill River Trail,258
San Diego ,
 River Bike Path EB & WB,341
Seattle,
BGT North of NE 70th St Logger Total,1711
Elliott Bay Trl in Myrtle Edwards Park Total,3379
