timeframe,week_of,2019_counts_14_counters,2020_counts_14_counters,change_2019_2020
Week 1,2018-12-30,68957,93654,0.36
Week 2,2019-01-06,34778,46964,0.35
Week 3,2019-01-13,32065,38302,0.19
Week 4,2019-01-20,35016,41506,0.19
Week 5,2019-01-27,33627,46335,0.38
Week 6,2019-02-03,35217,67437,0.91
Week 7,2019-02-10,32171,50846,0.58
Week 8,2019-02-17,36288,69353,0.91
Week 9,2019-02-24,44410,64508,0.45
Week 10,2019-03-03,65887,64326,-0.02
Week 11,2019-03-10,23076,85501,2.71
Week 12,2019-03-17,30298,117152,2.87
Week 13,2019-03-24,68805,106175,0.54
Week 14,2019-03-31,62779,113005,0.8
Week 15,2019-04-07,83893,107420,0.28
Week 16,2019-04-14,71677,122291,0.71
Week 17,2019-04-21,87834,106246,0.21
Week 18,2019-04-28,88284,109459,0.24
Week 19,2019-05-05,94980,109391,0.15
Week 20,2019-05-12,100251,119716,0.19
Week 21,2019-05-19,179060,106249,-0.41
Week 22,2019-05-26,132357,111028,-0.16
Week 23,2019-06-02,97451,115580,0.19
Week 24,2019-06-09,94747,122561,0.29
Week 25,2019-06-16,87304,105924,0.21
Week 26,2019-06-23,84230,97094,0.15
Week 27,2019-06-30,68866,80405,0.17
Week 28,2019-07-07,69626,87187,0.25
Week 29,2019-07-14,64104,94974,0.48
Week 30,2019-07-21,85786,83103,-0.03
Week 31,2019-07-28,81182,88592,0.09
Week 32,2019-08-04,71150,93785,0.32
Week 33,2019-08-11,90778,84000,-0.07
Week 34,2019-08-18,61826,86466,0.4
Week 35,2019-08-25,69618,72144,0.04
Week 36,2019-09-01,73657,85100,0.16
Week 37,2019-09-08,64835,73695,0.14
Week 38,2019-09-15,56589,75856,0.34
Week 39,2019-09-22,51308,81451,0.59
Week 40,2019-09-29,57862,75523,0.31
Week 41,2019-10-06,59866,74958,0.25
Week 42,2019-10-13,50785,66941,0.32
Week 43,2019-10-20,50692,66721,0.32
Week 44,2019-10-27,54306,95193,0.75
Week 45,2019-11-03,58888,61197,0.04
Week 46,2019-11-10,46887,96682,1.06
